BCE_validation,BCE_training,BCE_2_validation,BCE_2_training,BCE_3_validation,BCE_3_training
0.844763194,0.85583859,0.625852134,0.632646574,0.74020412,0.738982109
0.84382122,0.855488917,0.625791926,0.63217297,0.740190972,0.738981694
0.843734208,0.855270635,0.62565613,0.633161775,0.740196452,0.738981299
0.843719732,0.856099141,0.625323125,0.631207774,0.740200416,0.738980922
0.842902636,0.855940094,0.624886843,0.631632971,0.740192389,0.738980563
0.842319674,0.854899507,0.624859506,0.631279486,0.740185565,0.738980217
0.842096971,0.855060057,0.624559078,0.631857071,0.740208111,0.738979886
0.841753659,0.855088205,0.624400982,0.631412059,0.740187782,0.738979577
0.841598004,0.853965829,0.624433022,0.631066416,0.74019231,0.738979332
0.84097072,0.855868156,0.624145112,0.631381196,0.740185081,0.738980898
0.841086437,0.854017168,0.624017015,0.630728115,0.740187589,0.738978813
0.840845651,0.854519554,0.623639359,0.631305355,0.740195773,0.73897881
0.840575443,0.854345353,0.623216563,0.631102378,0.74018423,0.7389785
0.839918388,0.852288765,0.623304045,0.630497711,0.740189659,0.738979059
0.839756607,0.852139051,0.623247143,0.630510412,0.740176464,0.738977911
0.83922273,0.853158621,0.623039124,0.630533692,0.74018134,0.738977441
0.839225216,0.85247054,0.622817536,0.63021709,0.740180901,0.738958382
0.839057926,0.853765133,0.622785227,0.630874559,0.660663493,0.606943954
0.838365014,0.851778962,0.622573533,0.62962147,0.596814054,0.588912664
0.838433293,0.85201958,0.622350527,0.630438327,0.584412945,0.579853395
0.838013536,0.852723425,0.622131804,0.630418439,0.576590453,0.574409517
0.838150143,0.850940302,0.622189287,0.629802296,0.571433923,0.570401801
0.837851747,0.851528403,0.621876744,0.629795458,0.567679505,0.567613147
0.837596522,0.851367991,0.621896573,0.6291081,0.564887727,0.565127301
0.837518235,0.853397409,0.62167376,0.630677736,0.562866037,0.56365132
0.837125762,0.849475527,0.621670466,0.629113778,0.561048254,0.562797458
0.836473926,0.849995706,0.621443119,0.629665671,0.559606258,0.561688742
0.836621845,0.851721247,0.621275248,0.629455478,0.558449091,0.560955418
0.836123762,0.851591143,0.62123537,0.629273467,0.557421323,0.559845043
0.836154872,0.850058839,0.620938904,0.628701875,0.55656265,0.559334584
0.835851688,0.85289104,0.621046725,0.629624822,0.555594533,0.558888612
0.835241651,0.851540112,0.620993376,0.628611449,0.554919205,0.558425779
0.835166253,0.852384869,0.620794769,0.62884911,0.554384503,0.557706564
0.835387128,0.84958817,0.620475971,0.629235912,0.553686716,0.557337017
0.835074587,0.85205926,0.620828822,0.628998569,0.553048969,0.557230722
